n,method,time
500,generalized_dot,2.81e-5
500,matrix_vector_mult,2.8050000000000004e-5
2000,generalized_dot,0.0005808399999999999
2000,matrix_vector_mult,0.00066659
3500,generalized_dot,0.00251704
3500,matrix_vector_mult,0.0026341199999999998
5000,generalized_dot,0.005568169999999999
5000,matrix_vector_mult,0.00575038
6500,generalized_dot,0.009091350000000002
6500,matrix_vector_mult,0.00921408
8000,generalized_dot,0.013319979999999999
8000,matrix_vector_mult,0.013372309999999998
9500,generalized_dot,0.02036806
9500,matrix_vector_mult,0.018953409999999997
11000,generalized_dot,0.02563969
11000,matrix_vector_mult,0.02548899
12500,generalized_dot,0.032913160000000004
12500,matrix_vector_mult,0.03303799
14000,generalized_dot,0.04226314
14000,matrix_vector_mult,0.04456489
15500,generalized_dot,0.05023991
15500,matrix_vector_mult,0.05022834
17000,generalized_dot,0.06200823999999999
17000,matrix_vector_mult,0.06382357000000001
18500,generalized_dot,0.07374742999999999
18500,matrix_vector_mult,0.07303557000000001
20000,generalized_dot,0.08586420999999998
20000,matrix_vector_mult,0.08708016
21500,generalized_dot,0.10039339000000003
21500,matrix_vector_mult,0.10127116
23000,generalized_dot,0.11316802000000001
23000,matrix_vector_mult,0.11380838
24500,generalized_dot,0.13034952000000002
24500,matrix_vector_mult,0.12849823000000002
26000,generalized_dot,0.14501488999999998
26000,matrix_vector_mult,0.14359841
27500,generalized_dot,0.16044533
27500,matrix_vector_mult,0.15986713
29000,generalized_dot,0.17782230999999998
29000,matrix_vector_mult,0.17703565999999998
